GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Applecross Surgery - Ross And Cromarty (55342),55342,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",23,90.24,3.06,6.7
Arbroath Medical Centre - Arbroath (10182),10182,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",35,47,32.17,20.83
Ardach Health Centre - Banffshire (32586),32586,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",22,63.4,9.76,26.84
Ardblair Medical Practice - Blairgowrie (10407),10407,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",10,,,
Ardgowan Medical Practice - Greenock (86177),86177,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",30,53.5,20.32,26.18
Ardoch Medical Practice - Glasgow (60209),60209,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",23,48.92,16.71,34.38
Ark Medical Practice - Falkirk (25277),25277,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",14,,,
Armadale Group Practice - Armadale (78241),78241,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",26,45.54,14.36,40.1
Armadale Medical Practice - Sutherland (55183),55183,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",16,,,
Arran Medical Group - Isle of Arran (80927),80927,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",32,66.94,23.39,9.66
Ashfield Medical Practice - Milngavie (40173),40173,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",15,,,
Ashgrove Group Practice - Blackburn (78330),78330,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Ashton Medical Practice - Glasgow (40718),40718,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",25,74.61,24.23,1.17
Assynt Medical Practice - Sutherland (55253),55253,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",70,92.49,7.51,0
Atholl Medical Centre - Perthshire (14501),14501,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,48.11,15.98,35.92
Atlas Medical Practice - Glasgow (43097),43097,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",23,54.18,22.06,23.76
Atrium Medical Practice - Coatbridge (61466),61466,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",12,,,
Auchenblae Medical Centre - Auchenblae (32500),32500,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Auchinairn Medical Practice - Glasgow (43222),43222,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,45.37,22.15,32.48
Auchinleck Surgery - Auchinleck (80772),80772,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",26,53.15,6.87,39.98
Auchinraith Medical Practice - Blantyre (63334),63334,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,65.29,17.59,17.12
Auchtermuchty Practice - Auchtermuchty (20057),20057,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",17,,,
Aultbea & Gairloch Medical Practice - Aultbea (55357),55357,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",39,60.9,25.93,13.17
Aviemore Medical Practice - Aviemore (55911),55911,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",28,57.25,19.49,23.26
Avondale Medical Practice - Strathaven (63739),63739,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Ayrshire Medical Group - Stevenston (81012),81012,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",25,19.44,18.5,62.05
Baker Street Surgery - Glasgow (49318),49318,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",29,76.73,16.21,7.06
Balfron Health Centre - Balfron (25051),25051,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",27,62.5,20.44,17.06
Ballachulish Medical Practice - Ballachulish (56025),56025,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",12,,,
Ballantrae Medical Practice - Ballantrae (80132),80132,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",7,,,
Ballater Clinic - Ballater (32317),32317,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",11,,,
Ballochmyle Medical Group - Catrine (80749),80749,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",30,32.22,21.19,46.59
Balmore Surgery - Glasgow (43256),43256,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",22,92.74,2.45,4.81
Banchory Group Practice - Aberdeenshire (32406),32406,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",13,,,
Bank Street Medical Group - Cupar (20413),20413,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,54.3,10.87,34.83
Bankfield Medical Practice - Ayr (80842),80842,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",7,,,
Bankhouse Medical Practice - Airdrie (61151),61151,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,30.27,12.61,57.12
Barclay Medical Practice - Fauldhouse (78414),78414,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",31,64.96,23.16,11.88
Barclay Medical Practice - Livingston (78397),78397,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",30,29.55,30.11,40.34
Barclay Medical Practice East Craigs - Edinburgh (71434),71434,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",17,,,
Barclay Medical Practice Victoria Park - Glasgow (40578),40578,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",27,53.13,13.71,33.16
Bargarran Medical Practice - Erskine (87733),87733,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",22,37.2,35.95,26.85
Barns Medical Practice - Ayr (80081),80081,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",41,66.65,22.09,11.26
Baronscourt Surgery - Edinburgh (70658),70658,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,74.05,5.33,20.62
Barra Medical Practice - Isle Of Barra (90149),90149,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",23,37.43,16.01,46.56
Beith Health Centre GP Practice - Beith (80147),80147,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",24,45.05,14.71,40.24
Bellyeoman Surgery - Dunfermline (20490),20490,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",16,,,
Benarty Medical Practice - Fife (21421),21421,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Benbecula Medical Practice - Isle Of Benbecula (90120),90120,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",25,88,6.94,5.06
Bennochy Medical Centre - Fife (20979),20979,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",15,,,
Biggar Health Centre - Biggar (62312),62312,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",24,42.43,25.71,31.86
Bishopton Medical Practice - Bishopton (87112),87112,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",26,55.66,14.03,30.31
Bixter Health Centre - Shetland (39068),39068,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Blackfriars Medical Practice - St Andrews (21825),21825,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,47.22,27.47,25.31
Blackhall Medical Centre - Edinburgh (70535),70535,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",13,,,
Blackridge Health Centre - Blackridge (78185),78185,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Blackwood Medical Practice (62628),62628,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",12,,,
Bluewing Medical Practice - Clydebank (40262),40262,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Bo'ness Road Medical Practice - Grangemouth (25332),25332,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",44,39.3,22.3,38.41
Bonnybank Medical Practice - Bonnybridge (25205),25205,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",24,38.75,14.97,46.27
Boroughloch Medical Practice - Edinburgh (71379),71379,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",15,,,
Bothwell Medical Centre - Lanarkshire (63118),63118,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",16,,,
Bourtreehill Medical Practice - Irvine (80306),80306,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Bowmore Medical Practice - Isle of Islay (84331),84331,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",16,,,
Brae Medical Practice - Shetland (39049),39049,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",30,47.96,12.19,39.85
"Braefoot Medical Practice - Conan Doyle Medical Centre, Edinburgh (70893)",70893,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",17,,,
